Nombre Artista,Reproducciones,Oyentes,Biografia,Artistas Similares,Tags,Ontour
USHER,94125648,4744717,"Usher Raymond IV (born October 14, 1978), known simply as Usher, is a Grammy Award winning American R&B singer-songwriter, producer and actor. He rose to fame in the late 90s, releasing the multi-platinum albums My Way and 8701. His success continued with the release of his 2004 album, Confessions, which has sold over 20 million copies worldwide, and earned Usher four American Music Awards and eight Grammy nominations. To date, he has sold approximately 40 million albums worldwide and has won five Grammy Awards. <a href=""https://www.last.fm/music/Usher"">Read more on Last.fm</a>","Ne-Yo, Mario, Trey Songz, Chris Brown, Monica","rnb, Hip-Hop, pop, soul, rap",0
Alphaville,21565605,1675046,"Alphaville is a German synthpop/new wave group which gained popularity in the 80s. The founding members were Marian Gold (real name Hartwig Schierbaum, born May 26, 1954 in Herford), Bernhard Lloyd (real name Bernhard Gößling, born June 6th, 1960 in Enger, Bielefeld) and Frank Mertens (real name Frank Sorgatz, born October 26, 1961 in Enger, Bielefeld). The band was at first named Forever Young. The band is best known for its two biggest hits, ""Big in Japan"" and ""Forever Young"", which was the theme for many high school proms in the 1980s. <a href=""https://www.last.fm/music/Alphaville"">Read more on Last.fm</a>","Camouflage, Fancy, Sandra, Ultravox, a-ha","synthpop, new wave, 80s, pop, synth pop",1
Russ,34950819,1155642,"Russell Vitale (born September 26, 1992), known by his stage name Russ, is an American hip hop recording artist, singer-songwriter and record producer.

There is also a UK drill artist called Russ. Now known as Russ Millions. <a href=""https://www.last.fm/music/Russ"">Read more on Last.fm</a>","Joyner Lucas, G-Eazy, mike., Phora, 6LACK","Hip-Hop, rap, rnb, hip hop, russ",0
Sting,61081523,2633364,"Gordon Matthew Thomas Sumner CBE (born 2 October 1951), known as Sting, is an English musician and actor. He was the frontman, songwriter and bassist for new wave rock band The Police from 1977 until their breakup in 1986. He launched a solo career in 1985 and has included elements of rock, jazz, reggae, classical, new-age, and worldbeat in his music.

As a solo musician and a member of The Police, Sting has received 17 Grammy Awards: he won Song of the Year for ""Every Breath You Take"" <a href=""https://www.last.fm/music/Sting"">Read more on Last.fm</a>","The Police, Peter Gabriel, Phil Collins, Chris Rea, Simply Red","rock, pop, classic rock, british, singer-songwriter",1
Yusuf / Cat Stevens,16194036,934289,"Yusuf Islam (born Steven Demetre Georgiou, 21 July 1948),[1] best known by his former stage name Cat Stevens, is a British musician. He is a singer-songwriter, multi-instrumentalist, educator, philanthropist and prominent convert to Islam.

His albums Tea for the Tillerman and Teaser and the Firecat were both certified as Triple Platinum by the RIAA in the United States; his album Catch Bull at Four sold half a million copies in the first two weeks of release alone, and was Billboard's number-one LP for three consecutive weeks. <a href=""https://www.last.fm/music/Yusuf+%2F+Cat+Stevens"">Read more on Last.fm</a>",,,0
Maka,464272,24962," <a href=""https://www.last.fm/music/maka"">Read more on Last.fm</a>","Luis Cortés, Daviles de Novelda, Demarco Flamenco, El Bobe, Cyril Kamer","latin, spanish, spain, urban, spotify",0
Kali Uchis,274625243,2802967,"Karly-Marina Loaiza, professionally known as Kali Uchis, is a Colombian-American singer-songwriter, record producer, music video director and fashion designer. She writes and produces most of her own music.

The stylistic range of left-field pop artist Kali Uchis is reflected in the variety of her collaborators – an extensive genre-crossing list that includes Tyler, the Creator, Gorillaz, Daniel Caesar, Juanes, and BadBadNotGood. A singer, songwriter <a href=""https://www.last.fm/music/Kali+Uchis"">Read more on Last.fm</a>","SZA, Doja Cat, Amaarae, Ravyn Lenae, Solange","rnb, Neo-Soul, alternative rnb, soul, pop",1
Javed Ali,1163358,87534,"'Javed Ali' is an Indian playback singer. He has been singing in Hindi movies from 2000 but shot to fame in 2007 when he sang the song Ek Din Teri Raahon Mein(Music : Pritam Chakraborty) from the movie Naqaab and thereafter another hit like Jashn-E-Bahaara from the movie Jodhaa Akbar(2008), whose music is directed by A R Rahman.
     
                            Javed debuted by singing a track from the movie Beti No.1, but it didn't help his career much. <a href=""https://www.last.fm/music/Javed+Ali"">Read more on Last.fm</a>","KK, Arijit Singh, Pritam, Atif Aslam, Mohit Chauhan","Hindi, Indian, bollywood, A R Rahman, All",0
Little Simz,38548592,872170,"Simbiatu ""Simbi"" Abisola Abiola Ajikawo, better known by her stage name Little Simz, is a British rapper, singer and actress. She rose to prominence with the independent release of her first three albums, namely A Curious Tale of Trials + Persons (2015), Stillness in Wonderland (2016) and Grey Area (2019), the latter of which was shortlisted for the Mercury Prize and won the awards for Best Album at both the Ivor Novello Awards and the NME Awards. <a href=""https://www.last.fm/music/Little+Simz"">Read more on Last.fm</a>","McKinley Dixon, JID, Loyle Carner, Noname, Sampa the Great","rap, Hip-Hop, hip hop, Grime, rnb",1
Fernandinho,2782187,89634,"Fernando Jerônimo dos Santos Júnior, also known as Fernandinho, is a brazilian christian singer born in Aracaju - Sergipe at March 24th, 1973. He is also a composer, producer, minister and the leader of Faz Chover Ministry.

He is a member of the Second Baptist Church of Campos - Rio de Janeiro, and has started his career in 2001 with the studio album ""Famoso És"". Nowadays, Fernandinho is one of the most popular christian singers of Brazil. <a href=""https://www.last.fm/music/Fernandinho"">Read more on Last.fm</a>","Gabriela Rocha, Morada, Gabriel Guedes de Almeida, Isaias Saad, Nívea Soares","gospel, christian, worship, christian rock, fernandinho",0
Bon Jovi,118227683,4038584,"Bon Jovi is an American rock band formed in 1983 in Sayreville, New Jersey. It consists of singer Jon Bon Jovi, keyboardist David Bryan, drummer Tico Torres, guitarist Phil X, and bassist Hugh McDonald. Original bassist Alec John Such quit the band in 1994, and longtime guitarist and co-songwriter Richie Sambora left in 2013. The band has been credited with ""[bridging] the gap between heavy metal and pop with style and ease"".

In 1984 and 1985, Bon <a href=""https://www.last.fm/music/Bon+Jovi"">Read more on Last.fm</a>","Jon Bon Jovi, Richie Sambora, Def Leppard, Bryan Adams, Aerosmith","rock, hard rock, classic rock, 80s, hair metal",0
Shawn Mendes,128747093,2499462,"Shawn Peter Raul Mendes is a Canadian singer. He gained a following in 2013, posting song covers on the video-sharing application Vine. The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label. Mendes's self-titled debut EP was released in 2014, followed by his debut studio album Handwritten in 2015. Handwritten debuted atop the US Billboard 200, making Mendes one of five artists ever to debut at number one before the age of 18. <a href=""https://www.last.fm/music/Shawn+Mendes"">Read more on Last.fm</a>","Shawn Mendes, Camila Cabello, Niall Horan, Joshua Bassett, Zayn, Camila Cabello","pop, Canadian, folk, male vocalists, acoustic",1
Prince,93604617,2967758,"Prince Rogers Nelson (June 7, 1958 – April 21, 2016), more commonly known mononymously as Prince, was an American singer-songwriter, musician, and record producer. The recipient of numerous awards and nominations, he is widely regarded as one of the greatest musicians of his generation. He was known for his flamboyant, androgynous persona; his wide vocal range, which included a far-reaching falsetto and high-pitched screams; and his skill as a multi-instrumentalist, often preferring to play all or most of the instruments on his recordings. <a href=""https://www.last.fm/music/Prince"">Read more on Last.fm</a>","Prince and the New Power Generation, Prince & The Revolution, The Time, Sheila E., Wendy & Lisa","funk, pop, soul, rock, 80s",0
Sam Smith,105981531,2900192,"Samuel Frederick Smith (born 19 May 1992) is an English singer and songwriter. They rose to prominence in October 2012 after being featured on Disclosure's breakthrough single ""Latch"", which peaked at number eleven on the UK Singles Chart. Smith was subsequently featured on Naughty Boy's ""La La La"", which became a number one single in May 2013. In December 2013, they were nominated for the 2014 Brit Critics' Choice Award and the BBC's Sound of 2014 poll, winning both. <a href=""https://www.last.fm/music/Sam+Smith"">Read more on Last.fm</a>","Adele, Jessie J, Calum Scott, Lewis Capaldi, JP Cooper","soul, pop, british, electronic, dance",1
Milky Chance,36722724,1616555,"Milky Chance is a German alternative pop folk rock duo with reggae and electronic music influences made up of Clemens Rehbein as vocalist and musician and Philipp Dausch as DJ. Both originating from Kassel, they are signed to Kassel-based label Lichtdicht Records.

The duo finished their high school education at Jacob-Grimm Schule. Clemens played in a jazz quartet known as Flown Tones where he played bass guitar. Philipp was a DJ. 

Their first single 'Stolen Dance'  was released in 2012 <a href=""https://www.last.fm/music/Milky+Chance"">Read more on Last.fm</a>","Henry and the Waiter, Broken Back, Sir Sly, alt-J, Vance Joy","indie, indie rock, german, reggae, singer-songwriter",1
R. Kelly,21803006,1899633,"Robert Sylvester Kelly (born January 8, 1967 in Chicago, Illinois), better known by his stage name R. Kelly, is a Grammy award winning American R&B singer-songwriter, rapper, actor and record producer. Debuting in 1991 with the group Public Announcement, Kelly went solo in 1993, starting off a successful career with the release of the album 12 Play. He has since released a further nine studio albums, collaborated with Jay-Z on two albums and has had many successful singles including Bump N' Grind <a href=""https://www.last.fm/music/R.+Kelly"">Read more on Last.fm</a>","Jodeci, Keith Sweat, Dru Hill, Donell Jones, Joe","rnb, soul, Hip-Hop, rap, hip hop",0
The Offspring,203958476,4387891,"The Offspring is a punk rock band formed in Huntington Beach, California, United States in 1984. From 1987 to 2003, the band's line-up included Dexter Holland (lead vocals, guitar), Noodles (lead and rhythm guitars, back vocals), Greg K. (bass, back vocals), and Ron Welty (drums, percussion), who was fired in 2003. Their current drummer is Brandon Pertzborn of Marilyn Manson who has been with the band since 2023. Greg K was fired from the band in 2018 and was replaced by Todd Morse. <a href=""https://www.last.fm/music/The+Offspring"">Read more on Last.fm</a>","Sum 41, Pennywise, Bad Religion, Rise Against, Green Day","punk rock, punk, rock, alternative rock, alternative",1
Dechen Shak-Dagsay,129187,8823,"Dechen Shak-Dagsay is a contemporary singer of traditional Tibetan Buddhist mantras. She is the Tibetan-born daughter of the Venerable Dagsay Tulku. Born in India in 1961, in first year of the Chinese occupation of Tibet, Dechen fled with her family to Switzerland in 1965, where she has resided ever since.
Strongly committed to ""preserving Tibetan culture in the West,"" Dechen studied and performed traditional Tibetan music and dance throughout her childhood and adolescence. <a href=""https://www.last.fm/music/Dechen+Shak-Dagsay"">Read more on Last.fm</a>","Techung, Namgyal Lhamo, Karjam Saeji, Choying Drolma & Steve Tibbetts, Lama Tashi","Tibetan, new age, world, psychedelic, chill",0
Sidonie,2553162,115055,"Psychedelic group from Barcelona (Catalonia, Spain). It was formed in the 90s by Marc Ros (singer, guitar and bass guitar), Jesus Senra (singer, guitar, bass guitar, sitar) and Axel Pi (drums, bongos and tablas). <a href=""https://www.last.fm/music/Sidonie"">Read more on Last.fm</a>","Lori Meyers, Supersubmarina, Miss Caffeina, Love of Lesbian, Vetusta Morla","indie, spanish indie pop, indie pop, spanish, psychedelic",0
Meek Mill,44491373,1685823,"Robert Williams (born May 6, 1987), better known by his stage name Meek Mill, is an American rapper from Philadelphia, Pennsylvania. He was briefly signed to T.I.'s label Grand Hustle Records and in February 2011 signed to Rick Ross' Maybach Music Group. He adopted the rap name “Meek Mill” after family and friends from his neighborhood kept referencing him by his middle name. Meek is coined as the latest rap phenomenon to come out of the city of Philadelphia. <a href=""https://www.last.fm/music/Meek+Mill"">Read more on Last.fm</a>","Rick Ross, DJ Khaled, 2 Chainz, French Montana, Big Sean","Hip-Hop, rap, hip hop, Philly, trap",0
Eric Clapton,79247657,3321811,"Eric Patrick Clapton CBE (born 30 March 1945) is an English rock and blues guitarist, singer, and songwriter. He is regarded as one of the most successful and influential guitarists in rock music. He ranked second in Rolling Stone's list of the ""100 Greatest Guitarists of All Time"" and fourth in Gibson's ""Top 50 Guitarists of All Time"". In 2023, Rolling Stone named Clapton the 35th best guitarist of all time. He was also named number five in Time magazine's list of ""The 10 Best Electric Guitar Players"" in 2009. <a href=""https://www.last.fm/music/Eric+Clapton"">Read more on Last.fm</a>","B.B. King & Eric Clapton, J.J. Cale & Eric Clapton, Derek and the Dominos, Dire Straits, John Mayall & The Bluesbreakers","blues, classic rock, blues rock, rock, guitar",1
El Barrio,997968,48699," <a href=""https://www.last.fm/music/El+Barrio"">Read more on Last.fm</a>","Fondo Flamenco, Niña Pastori, El Arrebato, Los Chichos, Estopa","Flamenco, rock andaluz, spain, Flamenco rock, flamenco fusion",0
Duncan Dhu,2652067,246051,"Duncan Dhu was a Spanish pop-rock group of the 1980s.  The group was founded in San Sebastian, Spain in 1984 by singer Mikel Erentxun (Aristogatos), and Diego Vasallo, and Juan Ramón Viles (Los Dalton). The name Duncan Dhu comes from the book ""Kidnapped: The adventures of David Balfour"" by Robert Louis Stevenson where there is a character named Duncan Dhu, who is a lover of music. 

Their style was based on an acoustic and simple pop-rock with a touch of rockabilly in great contrast with the more radical rock played in the area at the time. <a href=""https://www.last.fm/music/Duncan+Dhu"">Read more on Last.fm</a>","Mikel Erentxun, La Unión, Radio Futura, Nacha Pop, Hombres G","80s, spanish, pop, Rock en Espanol, spanish pop",0
Justin Bieber,271050328,4399644,"Justin Drew Bieber (born March 1, 1994 in London, Ontario, Canada) is a Grammy Award winning Canadian pop singer, songwriter, and multi-instrumentalist. Bieber was discovered in 2008 by American talent manager Scooter Braun, who came across Bieber's videos on YouTube and later became his manager. Braun arranged for him to meet with entertainer Usher Raymond in Atlanta, Georgia. Bieber was signed to Raymond Braun Media Group (RBMG), and then to an Island Records recording contract offered by record executive L.A. Reid. <a href=""https://www.last.fm/music/Justin+Bieber"">Read more on Last.fm</a>","Zayn, Shawn Mendes, Poo Bear, Ariana Grande, Austin Mahone","pop, black metal, rnb, justin bieber, Hip-Hop",0
Whitney Houston,58349412,3055936,"Whitney Elizabeth Houston (August 9, 1963 – February 11, 2012) was an American singer and actress. Nicknamed ""the Voice,"" she is regarded as one of the greatest singers in the history of music. Houston is one of the best-selling music artists of all time, with over 220 million records sold worldwide. She influenced many singers in the recording industry and was known for her powerful, soulful vocals, vocal improvisation skills, use of gospel singing techniques in pop music, and live performances. <a href=""https://www.last.fm/music/Whitney+Houston"">Read more on Last.fm</a>","Toni Braxton, Mariah Carey, Céline Dion, Mariah Carey & Whitney Houston, Janet Jackson","pop, soul, female vocalists, rnb, 80s",0
Sparks,16558973,598466,"Sparks is an American rock and pop music band formed in Los Angeles in 1970 by brothers Ron Mael (keyboards) and Russell Mael (vocals), initially under the name Halfnelson. Best known for their quirky approach to song writing, Sparks' music is often accompanied by cutting and acerbic lyrics, and an idiosyncratic stage presence, typified in the contrast between Russell's wide-eyed hyperactive frontman antics and Ron's sedentary scowling.

The band's long career has seen them successfully adopt many different musical genres; including glam pop <a href=""https://www.last.fm/music/Sparks"">Read more on Last.fm</a>","Devo, Klaus Nomi, Roxy Music, Lene Lovich, Slade","new wave, glam rock, pop, synth pop, rock",1
La Oreja de Van Gogh,18297604,619681,"La Oreja de Van Gogh (English: Van Gogh's Ear) is a Spanish band. The name of the band references the Dutch painter Vincent Van Gogh who allegedly cut off his own ear. It was formed in Spain in 1996, when guitarist Pablo Benegas, bassist Álvaro Fuentes, keyboardist Xabi San Martín and drummer Haritz Garde met at university.

San Martin was the vocalist until Amaia Montero joined the band by request from Benegas, just after he met her at a dinner party. <a href=""https://www.last.fm/music/La+Oreja+de+Van+Gogh"">Read more on Last.fm</a>","Amaia Montero, Amaral, La Quinta Estación, Nena Daconte, Edurne","spanish, pop, female vocalists, latin, pop espanol",0
Ben Harper,30728481,1547276,"Ben Harper (born in Pomona, CA, on 28 October 1969) is an American  Grammy-winning singer and songwriter. As well as solo albums, he has recorded as Ben Harper and Tom Freund, Ben Harper & The Innocent Criminals, Ben Harper And The Blind Boys Of Alabama, Ben Harper and Relentless7, Ben Harper & Charlie Musselwhite, and Ben & Ellen Harper. 

Harper grew up listening to blues, folk, soul, RnB, and reggae. Harper's blend of groove-laden funky soul and <a href=""https://www.last.fm/music/Ben+Harper"">Read more on Last.fm</a>","Ben Harper & The Innocent Criminals, Ben Harper and Relentless7, The John Butler Trio, Donavon Frankenreiter, Ayo","singer-songwriter, rock, acoustic, folk, alternative",0
Tom Odell,44939113,1891170,"Tom Peter Odell is a British singer-songwriter from Chichester (UK), who studied at the Brighton Institute of Modern Music. Signed to Columbia Records, Odell made his television debut on November 30, 2012 as a performer on ""Later… with Jools Holland"" on BBC. He released his debut extended play, ""Songs From Another Love"", on October 15, 2012; with his first studio album entitled ""Long Way Down"" which was released on June 24, 2013 (Sept 17, 2013 in US). <a href=""https://www.last.fm/music/Tom+Odell"">Read more on Last.fm</a>","Tom Rosenthal, James Bay, Birdy, Seafret, Patrick Watson","indie, folk, british, singer-songwriter, piano",1
OG Ron C,136160,26946,"One of the founding members of Swishahouse, ""OG Ron C"" is the official DJ of Chamillitary Entertainment. He has made a name for himself in Houston with all the screwed & chopped CDs he has done. OG Ron C/DJ Lil Steve usually go by the slogan ""Chopped-Up Not Slopped-Up"" which implies that his Screwed and Chopped skills are perfect and unique. He is signed to Platinum Sounds/Wreckin Yard. Wreckin Yard is his group of three rappers and two DJs including himself. <a href=""https://www.last.fm/music/OG+Ron+C"">Read more on Last.fm</a>","Slim K, DJ Drobitussin, DJ CANDLESTICK, DJ Michael Watts, DJ Purpberry","Home collection, chopped and screwed, instrumental, Hip-Hop, hip hop",0
The Beatles,1030785959,6234619,"The Beatles were an English rock band formed in Liverpool, Lancashire in 1960. With the line-up comprising John Lennon, Paul McCartney,  George Harrison, and Ringo Starr, they are regarded as the most popular and influential band of all time. The group was integral to the development of 1960s counterculture and popular music's recognition as an art form. Rooted in skiffle, beat and 1950s rock and roll, their sound incorporated elements of classical <a href=""https://www.last.fm/music/The+Beatles"">Read more on Last.fm</a>","John Lennon, George Harrison, Paul McCartney, Wings, Paul McCartney & Wings","classic rock, rock, british, 60s, pop",0
Bastille,87073094,2275097,"Bastille is an indie rock band from South London, England that formed in 2010. Bastille started out as a solo project by singer-songwriter Dan Smith, who later decided to form a band. The quartet consists of Dan Smith, Chris 'Woody' Wood, Will Farquarson and Kyle Simmons. The name of the band comes from Bastille Day, which was the day when Smith was born. Bastille released their album 'Give Me the Future' on 4 February 2022, to international critical acclaim. <a href=""https://www.last.fm/music/Bastille"">Read more on Last.fm</a>","To Kill a King, Imagine Dragons, X Ambassadors, BANNERS, American Authors","indie, electronic, british, alternative, House",1
Jarabe De Palo,9237199,556504,"Jarabe de Palo (literally ""Wooden Stick Syrup"" or, after the Spanish expression ""dar un jarabe de palo"", i.e. a ""hell of a beating""), was a Spanish rock band founded in 1996. The group was led by singer, songwriter, and guitarist Pau Donés, whose death in 2020 caused the band to break up.

Pau Donés, born and raised in Barcelona, worked for various groups before being able to take on his current project, Jarabe de Palo. He began at age 15 with his brother Marc, with whom he formed a group known as J. <a href=""https://www.last.fm/music/Jarabe+de+Palo"">Read more on Last.fm</a>","Fito Y Fitipaldis, El Canto del Loco, Estopa, Café Quijano, Enanitos Verdes","spanish, rock, pop, latin, spanish pop",0
Queen,400938243,6915162,"Queen is a British rock band formed in London in 1970 by Freddie Mercury (lead vocals, piano), Brian May (guitar, vocals), and Roger Taylor (drums, vocals), later joined by John Deacon (bass). Their earliest works were influenced by progressive rock, hard rock, and heavy metal, but the band gradually ventured into more conventional and radio-friendly styles by incorporating elements of arena rock and pop rock.

Before forming Queen, May and Taylor had played together in the band Smile. <a href=""https://www.last.fm/music/Queen"">Read more on Last.fm</a>","Freddie Mercury, Roger Taylor, Brian May, Freddie Mercury & Montserrat Caballé, Queen + Paul Rodgers","classic rock, rock, hard rock, glam rock, 80s",0
Gene Rockwell,2696,544,"Gene Rockwell (1944–1998) was a South African singer. His 1965 rendition of ""Heart"" went directly to the top of the LM Radio Top 20.

Gene was born Gert Smit in 1944 in the town of Krugersdorp in the then Transvaal province of South Africa. He died at the age of 53 years, on July 3, 1998, of cancer.

He won his first talent competition at the age of 15, in Durban's ""Little Top"". Still in his teens, Gene formed The Blue Angels, later to become The Falcons, in 1963, with whom he played guitar and sang his famous gritty-blues-style songs. <a href=""https://www.last.fm/music/Gene+Rockwell"">Read more on Last.fm</a>","Alan Garrity, Lauren Copley, Anneli Van Rooyen, Virginia Lee, Carike Keuzenkamp","All, spotify, Krugersdorp",0
